OID,STATEFP10,COUNTYFP10,MPOCE10,TADCE10,TAZCE10,GEOID10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,Shape__Are,Shape__Len,ID,sourceCoun,ENRICH_FID,aggregatio,population,apportionm,HasData,TOTPOP_CY
-1,36,047,36198201,00002010,00018501,3604700018501,G6320,S,104670.000000000000000,0.000000000000000,+40.6946997,-073.9741388,0.000011150000000,0.013723010000000,41,US,42,BlockApportionment:US.BlockGroups,2.191000000000000,2.576000000000000,1,4209.000000000000000
-1,36,047,36198201,00002020,00079601,3604700079601,G6320,S,110399.000000000000000,0.000000000000000,+40.6565964,-073.9582723,0.000011760000000,0.013777130000000,42,US,43,BlockApportionment:US.BlockGroups,2.191000000000000,2.576000000000000,1,4601.000000000000000
-1,36,047,36198201,00002010,00002901,3604700002901,G6320,S,103693.000000000000000,0.000000000000000,+40.6949037,-073.9780855,0.000011050000000,0.013851100000000,43,US,44,BlockApportionment:US.BlockGroups,2.191000000000000,2.576000000000000,1,3665.000000000000000
-1,36,047,36198201,00002023,00051602,3604700051602,G6320,S,91014.000000000000000,0.000000000000000,+40.6416145,-073.9581438,0.000009690000000,0.013925770000000,44,US,45,BlockApportionment:US.BlockGroups,2.191000000000000,2.576000000000000,1,4189.000000000000000
-1,36,047,36198201,00002039,00061003,3604700061003,G6320,S,79592.000000000000000,0.000000000000000,+40.5814205,-073.9587054,0.000008470000000,0.013928910000000,45,US,46,BlockApportionment:US.BlockGroups,2.191000000000000,2.576000000000000,1,2184.000000000000000
-1,36,047,36198201,00002004,00028501,3604700028501,G6320,S,83241.000000000000000,0.000000000000000,+40.6994266,-073.9420907,0.000008870000000,0.013990420000000,46,US,47,BlockApportionment:US.BlockGroups,2.191000000000000,2.576000000000000,1,452.000000000000000
-1,36,061,36198201,00001010,00013701,3606100013701,G6320,S,111738.000000000000000,0.000000000000000,+40.7657929,-073.9816669,0.000011920000000,0.014072310000000,47,US,48,BlockApportionment:US.BlockGroups,2.191000000000000,2.576000000000000,1,3009.000000000000000
-1,36,061,36198201,00001004,00001402,3606100001402,G6320,S,114218.000000000000000,0.000000000000000,+40.7175157,-073.9858855,0.000012170000000,0.014074910000000,48,US,49,BlockApportionment:US.BlockGroups,2.191000000000000,2.576000000000000,1,2633.000000000000000
-1,36,061,36198201,00001014,00016502,3606100016502,G6320,S,112540.000000000000000,0.000000000000000,+40.7816849,-073.9738226,0.000012010000000,0.014177700000000,49,US,50,BlockApportionment:US.BlockGroups,2.191000000000000,2.576000000000000,1,1418.000000000000000
-1,36,047,36198201,00002028,00014700,3604700014700,G6320,S,108084.000000000000000,0.000000000000000,+40.6598876,-073.9896397,0.000011510000000,0.014344260000000,0,US,51,BlockApportionment:US.BlockGroups,2.191000000000000,2.576000000000000,1,2096.000000000000000
-1,36,047,36198201,00002015,00021700,3604700021700,G6320,S,119678.000000000000000,0.000000000000000,+40.6727657,-073.9590257,0.000012750000000,0.014361990000000,1,US,52,BlockApportionment:US.BlockGroups,2.191000000000000,2.576000000000000,1,3832.000000000000000
-1,36,061,36198201,00001025,00024301,3606100024301,G6320,S,105150.000000000000000,0.000000000000000,+40.8360035,-073.9387688,0.000011230000000,0.014369280000000,2,US,53,BlockApportionment:US.BlockGroups,2.191000000000000,2.576000000000000,1,3952.000000000000000
-1,36,047,36198201,00002023,00051002,3604700051002,G6320,S,107068.000000000000000,0.000000000000000,+40.6487514,-073.9603672,0.000011400000000,0.014411780000000,3,US,54,BlockApportionment:US.BlockGroups,2.191000000000000,2.576000000000000,1,4859.000000000000000
