OID,License_Se,License_Ty,License_Cl,License__1,Agency_Zon,Agency_Z_1,County_Nam,Premises_N,Doing_Busi,Actual_Add,Additional,City,State,Zip,License_Ce,License_Or,License_Ef,License_Ex,Latitude,Longitude,Location,serial_a2b
-1,1296307,ON-PREMISES LIQUOR,252,OP,New York City,1,KINGS,FACILITY CONCESSION SERVICES INC,SPECTRUM CATERING AND CONCESSIONS,64 N 9TH ST,,BROOKLYN,NY,11249,898720,,12/1/2018 0:00:00,11/30/2020 0:00:00,40.720759999999999,-73.959569999999999,"(40.72076, -73.95957)",24800
-1,1296311,ON-PREMISES LIQUOR,252,OP,New York City,1,NEW YORK,R&R WESTSIDE LLC,THE BRAZEN TAVERN,356 W 44TH ST,,NEW YORK,NY,10036,893681,,8/1/2018 0:00:00,7/31/2020 0:00:00,40.759430000000002,-73.991230000000002,"(40.75943, -73.99123)",24801
-1,1296343,ON-PREMISES LIQUOR,252,OP,New York City,1,NEW YORK,REFRESH CLUB INC,THE WING,45 E 20TH ST,FL 12,NEW YORK,NY,10003,897734,,10/1/2018 0:00:00,9/30/2020 0:00:00,40.738700000000001,-73.988380000000006,"(40.7387, -73.98838)",24815
-1,1296346,ON-PREMISES LIQUOR,252,OP,New York City,1,QUEENS,L CALA BAR LOUNGE CORP,,33-02 36TH AVE,,ASTORIA,NY,11106,841478,,2/21/2017 0:00:00,1/31/2019 0:00:00,40.755769999999998,-73.928160000000005,"(40.75577, -73.92816)",24818
-1,1296355,ON-PREMISES LIQUOR,252,OP,New York City,1,KINGS,UNCLE SAM BAR & RESTAURANT CORP,,883 4TH AVE,,BROOKLYN,NY,11220,841080,,11/3/2016 0:00:00,10/31/2018 0:00:00,40.655799999999999,-74.002589999999998,"(40.6558, -74.00259)",24823
-1,1296359,ON-PREMISES LIQUOR,252,OP,New York City,1,NEW YORK,FAT PIG INC,MARCHA COCINA INWOOD,120 DYCKMAN ST,,NEW YORK,NY,10040,879635,,12/19/2017 0:00:00,3/31/2019 0:00:00,40.862180000000002,-73.925340000000006,"(40.86218, -73.92534)",24825
-1,1296362,ON-PREMISES LIQUOR,252,OP,New York City,1,RICHMOND,PUGLIA OF HESTER STREET INC,PUGLIA OF HESTER ST,4212 HYLAN BLVD,,STATEN ISLAND,NY,10308,893646,,8/1/2018 0:00:00,7/31/2020 0:00:00,40.537289999999999,-74.150340000000000,"(40.53729, -74.15034)",24827
-1,1296386,ON-PREMISES LIQUOR,252,OP,New York City,1,KINGS,M&P SMITH STREET LLC,PHIL & ANNE'S GOOD TIME LOUNGE,196 SMITH ST,,BROOKLYN,NY,11201,861733,,4/27/2017 0:00:00,3/31/2019 0:00:00,40.685060000000000,-73.991730000000004,"(40.68506, -73.99173)",24839
-1,1296389,ON-PREMISES LIQUOR,252,OP,New York City,1,QUEENS,EL MAGUEY CORP,EL MAGUEY,83-28 NORTHERN BLVD,,JACKSON HEIGHTS,NY,11372,898548,,12/1/2018 0:00:00,11/30/2020 0:00:00,40.755589999999998,-73.883619999999993,"(40.75559, -73.88362)",24841
-1,1296409,ON-PREMISES LIQUOR,252,OP,New York City,1,NASSAU,BJS RESTAURANT OPERATIONS COMPANY,BJ'S RESTAURANT & BREWHOUSE,39 GREEN ACRES RD,,VALLEY STREAM,NY,11581,894385,,10/1/2018 0:00:00,9/30/2020 0:00:00,40.663969999999999,-73.724990000000005,"(40.66397, -73.72499)",24847
-1,1296412,ON-PREMISES LIQUOR,252,OP,New York City,1,QUEENS,HOTEL 2745 LLC,WXYZ LOUNGE,27-45 JACKSON AVE,,LONG ISLAND CITY,NY,11101,841285,,12/29/2016 0:00:00,11/30/2018 0:00:00,40.748260000000002,-73.939689999999999,"(40.74826, -73.93969)",24849
-1,1296415,ON-PREMISES LIQUOR,252,OP,New York City,1,NEW YORK,ATLA LAFAYETTE LLC,,372 LAFAYETTE ST,,NEW YORK,NY,10012,863130,,3/9/2018 0:00:00,2/28/2019 0:00:00,40.727290000000004,-73.993719999999996,"(40.72729, -73.99372)",24852
-1,1296432,ON-PREMISES LIQUOR,252,OP,New York City,1,KINGS,JUKIMOO LLC,LITTLEFIELD,635 SACKETT ST,,BROOKLYN,NY,11217,861961,,6/15/2017 0:00:00,3/31/2019 0:00:00,40.678400000000003,-73.983360000000005,"(40.6784, -73.98336)",24858
-1,1296444,ON-PREMISES LIQUOR,252,OP,New York City,1,KINGS,UNO & DUE LLC,UNTIL TOMORROW,507 MYRTLE AVE,STORE 1,BROOKLYN,NY,11205,841247,,12/16/2016 0:00:00,11/30/2018 0:00:00,40.693719999999999,-73.964600000000004,"(40.69372, -73.9646)",24865
-1,1296476,ON-PREMISES LIQUOR,252,OP,New York City,1,KINGS,MELROSE HOSPITALITY CORPORATION,REBECCA'S,610 BUSHWICK AVE,,BROOKLYN,NY,11206,895245,,10/1/2018 0:00:00,9/30/2020 0:00:00,40.698219999999999,-73.934179999999998,"(40.69822, -73.93418)",24885
-1,1296477,ON-PREMISES LIQUOR,252,OP,New York City,1,NEW YORK,SHORTYS RESTAURANTS LLC,SHORTY'S,62 PEARL ST,,NEW YORK,NY,10004,895450,,10/1/2018 0:00:00,9/30/2020 0:00:00,40.703510000000001,-74.010999999999996,"(40.70351, -74.011)",24886
-1,1296545,ON-PREMISES LIQUOR,252,OP,New York City,1,NEW YORK,"DAME TAVERN INC, THE",THE CRAFTSMAN,3155 BROADWAY,,NEW YORK,NY,10027,861513,,3/1/2017 0:00:00,2/28/2019 0:00:00,40.814660000000003,-73.959379999999996,"(40.81466, -73.95938)",24911
-1,1296572,ON-PREMISES LIQUOR,252,OP,New York City,1,KINGS,BLUE WATER HOSPITALITY LLC,BAR UNI,674 MANHATTAN AVE,,BROOKLYN,NY,11222,841273,,12/22/2016 0:00:00,11/30/2018 0:00:00,40.724860000000000,-73.951269999999994,"(40.72486, -73.95127)",24920
-1,1296580,ON-PREMISES LIQUOR,252,OP,New York City,1,NEW YORK,BLACK TAP MIDTOWN LLC,BLACK TAP,136 W 55TH ST,,NEW YORK,NY,10019,862256,,8/23/2017 0:00:00,7/31/2019 0:00:00,40.763570000000001,-73.979699999999994,"(40.76357, -73.9797)",24922
